Year_Month,Index_1,RANK,NAME,PrevBasho,PrevRank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,JW,JL,Index_2
187011,1,O1e,Sakaigawa,6-0-2-2d,O1e,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
187011,2,O1w,Kimenzan,4-1-5,O1w,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
187011,3,S1e,Azumazeki,4-3-3,S1w,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
187011,4,S1w,Zogabana,5-2-2-1a,S1e,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
187011,5,K1e,Ryogoku,3-5-1-1a,K1w,,,,,X,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
187011,6,K1w,Omatoi,7-1-2,K1e,,,,,,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
187011,7,M1e,Aioi,5-0-3-1d-1a,M1e,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
187011,8,M1w,Koyanagi,6-2-1-1a,M1w,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
187011,9,M2e,Banjaku,5-4-1,M2e,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
187011,10,M2w,Asahidake,5-2-1-1d-1a,M2w,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
187011,11,M3e,Takamiyama,7-2-1,M4e,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
187011,12,M3w,Onigasaki,3-3-1-3d,M3w,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
187011,13,M4e,Kunimiyama,4-3-1-1d-1a,M3e,,,,,X,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
187011,14,M4w,Sanoyama,0-0-10,M4w,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
187011,15,M5e,Kabutoyama,7-1-2,M7e,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
187011,16,M5w,Shachinoumi,4-4-2,M6w,,,,,X,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
187011,17,M6e,Tagonoura,1-6-3,M5e,,,,,,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
187011,18,M6w,Minoshima,2-4-4,M7w,,,,,,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
187011,19,M7e,Onoue,1-5-2-2d,M6e,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
187011,20,M7w,Tsurugataki,0-0-10,M5w,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
187103,1,O1e,Sakaigawa,6-1-1-2d,O1e,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
